t    dx       dy       dz      rx.ry.rz   resp1       resp2       resp3    resp4       resp5       resp6      resp7    resp8     resp9          
0.2 9.02E-08 -1.54E-08 -4.56E-07 0 0 0 -440.558326 -169.963602 -0.001614 -502.887364 144.990226 -0.001094 -3270.071 -7.186508 -0.000679
0.4 3.77E-07 -9.80E-08 -2.08E-06 0 0 0 -440.558326 -169.963602 -0.001617 -502.887293 144.990228 -0.001091 -3270.062857 -7.186487 -0.000907
0.6 8.69E-07 -2.96E-07 -5.15E-06 0 0 0 -440.55831 -169.963602 -0.001618 -502.886538 144.99026 -0.001089 -3270.053225 -7.186519 -0.001115
0.8 1.56E-06 -6.49E-07 -9.86E-06 0 0 0 -440.558164 -169.963601 -0.00162 -502.884168 144.990463 -0.00109 -3270.043118 -7.186772 -0.001402
1 2.44E-06 -1.19E-06 -1.6E-05 -5.01E-07 2.01E-06 -1.90E-08 -440.557599 -169.963597 -0.001625 -502.882384 144.991118 -0.001103 -3270.034333 -7.187294 -0.002144
1.2 3.47E-06 -1.93E-06 -2.4E-05 -9.91E-07 3.12E-06 -1.31E-07 -440.556923 -169.963597 -0.001627 -502.882872 144.990951 -0.001096 -3270.030111 -7.187394 -0.002152
1.4 4.62E-06 -2.89E-06 -3.4E-05 -1.68E-06 4.49E-06 -3.24E-07 -440.557386 -169.963604 -0.001629 -502.883114 144.990932 -0.001086 -3270.034167 -7.1872 -0.002023
1.6 5.84E-06 -4.06E-06 -4.4E-05 -2.56E-06 6.10E-06 -6.25E-07 -440.558375 -169.963612 -0.001631 -502.883674 144.991063 -0.001085 -3270.046869 -7.186629 -0.00176
1.8 7.07E-06 -5.44E-06 -5.5E-05 -3.65E-06 7.91E-06 -1.06E-06 -440.558074 -169.963637 -0.001631 -502.885365 144.991219 -0.001079 -3270.064897 -7.185788 -0.001342
2 8.25E-06 -7.01E-06 -6.6E-05 -4.91E-06 9.88E-06 -1.67E-06 -440.557587 -169.963649 -0.001633 -502.888055 144.991261 -0.001074 -3270.085192 -7.184836 -0.0008
2.2 9.31E-06 -8.73E-06 -7.7E-05 -6.32E-06 1.2E-05 -2.48E-06 -440.558358 -169.963547 -0.001633 -502.890208 144.991153 -0.00107 -3270.105584 -7.183929 -6.8E-05
2.4 1E-05 -1.1E-05 -8.7E-05 -7.84E-06 1.4E-05 -3.52E-06 -440.559398 -169.963406 -0.00163 -502.891647 144.990242 -0.001042 -3270.1232 -7.182901 0.000787
2.6 1.1E-05 -1.2E-05 -9.5E-05 -9.43E-06 1.6E-05 -4.82E-06 -440.559453 -169.963534 -0.001632 -502.892713 144.98958 -0.001031 -3270.135083 -7.183178 0.001509
2.8 1.1E-05 -1.4E-05 -0.0001 -1.1E-05 1.8E-05 -6.39E-06 -440.558831 -169.963581 -0.001633 -502.893 144.989828 -0.001058 -3270.140638 -7.182824 0.002431
3 1E-05 -1.6E-05 -0.000103 -1.3E-05 2E-05 -8.24E-06 -440.558572 -169.963546 -0.001632 -502.892696 144.989955 -0.001088 -3270.142358 -7.189768 -0.002344
3.2 9.47E-06 -1.8E-05 -0.000102 -1.4E-05 2.1E-05 -1E-05 -440.559019 -169.963521 -0.001631 -502.892276 144.989575 -0.001087 -3270.143111 -7.187248 -0.000428
3.4 7.69E-06 -1.9E-05 -9.7E-05 -1.5E-05 2.2E-05 -1.3E-05 -440.559353 -169.963578 -0.001631 -502.892013 144.989328 -0.00109 -3270.144222 -7.186206 0.00038
3.6 5.02E-06 -1.9E-05 -8.8E-05 -1.6E-05 2.3E-05 -1.5E-05 -440.559037 -169.96366 -0.001632 -502.892321 144.989199 -0.001091 -3270.147354 -7.185947 0.000611
3.8 1.33E-06 -2E-05 -7.4E-05 -1.6E-05 2.3E-05 -1.8E-05 -440.558721 -169.963689 -0.001632 -502.893134 144.989111 -0.001088 -3270.154046 -7.18592 0.000662
4 -3.48E-06 -1.9E-05 -5.5E-05 -1.6E-05 2.2E-05 -2E-05 -440.55914 -169.963663 -0.001633 -502.894056 144.989002 -0.001081 -3270.163075 -7.185933 0.000672
4.2 -9.49E-06 -1.8E-05 -3.1E-05 -1.6E-05 2.1E-05 -2.3E-05 -440.559825 -169.963648 -0.001632 -502.895209 144.988837 -0.001072 -3270.171253 -7.185938 0.000675
4.4 -1.7E-05 -1.5E-05 -1.64E-06 -1.4E-05 2E-05 -2.5E-05 -440.559995 -169.963667 -0.001631 -502.896415 144.988608 -0.001065 -3270.175399 -7.185932 0.000672
4.6 -2.5E-05 -1.1E-05 3.2E-05 -1.2E-05 1.7E-05 -2.6E-05 -440.55982 -169.963671 -0.001631 -502.896721 144.98831 -0.001061 -3270.173362 -7.185924 0.000658
4.8 -3.5E-05 -6.56E-06 7E-05 -8.84E-06 1.5E-05 -2.7E-05 -440.559783 -169.963642 -0.001636 -502.895759 144.987989 -0.001062 -3270.163827 -7.185919 0.000624
5 -4.6E-05 -4.51E-07 0.000111 -4.77E-06 1.1E-05 -2.7E-05 -440.559745 -169.963636 -0.001642 -502.894092 144.987733 -0.001066 -3270.146195 -7.185921 0.000567
5.2 -5.7E-05 6.95E-06 0.000155 3.08E-07 7.64E-06 -2.5E-05 -440.559481 -169.963686 -0.001642 -502.892032 144.987605 -0.001073 -3270.121559 -7.185932 0.000483
5.4 -7E-05 1.6E-05 0.000201 6.42E-06 3.75E-06 -2.2E-05 -440.559082 -169.963737 -0.001633 -502.889456 144.987633 -0.001079 -3270.093267 -7.185948 0.000369
5.6 -8.2E-05 2.5E-05 0.000247 1.4E-05 -2.63E-07 -1.7E-05 -440.558653 -169.963737 -0.001621 -502.886595 144.987824 -0.001081 -3270.064795 -7.185967 0.000223
